,UR888,fb888,CF888,PF888,ag888,jd888,pp888,y888,rr888,sc888,a888,nr888,T888,FG888,al888,bu888,pg888,b888,lu888,TS888,PK888,CJ888,CY888,eb888,AP888,jm888,v888,SF888,cu888,eg888,hc888,j888,c888,l888,cs888,IF888,OI888,au888,m888,SM888,ZC888,RM888,p888,zn888,pb888,fu888,TA888,ss888,MA888,IH888,sp888,ru888,SA888,IC888,sn888,rb888,ni888,bc888,SR888,lh888,i888,TF888
2021-03-24 21:42:00,,,18.0,28.0,16.0,,49.0,32.0,5.0,23.0,51.0,7.0,,14.0,6.0,1.0,33.0,30.0,9.0,,,,6.0,48.0,,0.0,4.0,,24.0,42.0,17.0,11.0,0.0,7.0,1.0,,65.0,30.0,29.0,,2.0,7.0,36.0,16.0,9.0,4.0,15.0,3.0,11.0,,12.0,9.0,6.0,,45.0,6.0,36.0,26.0,24.0,,6.0,
2021-03-24 21:43:00,,,0.0,12.0,20.0,,43.0,30.0,3.0,26.0,31.0,2.0,,9.0,3.0,6.0,14.0,23.0,7.0,,,,1.0,34.0,,4.0,3.0,,30.0,29.0,14.0,11.0,0.0,8.0,0.0,,66.0,30.0,31.0,,9.0,7.0,26.0,1.0,1.0,4.0,7.0,2.0,2.0,,8.0,0.0,6.0,,40.0,9.0,30.0,15.0,4.0,,5.0,
2021-03-24 21:44:00,,,2.0,11.0,26.0,,34.0,33.0,1.0,14.0,37.0,2.0,,17.0,9.0,1.0,46.0,32.0,3.0,,,,3.0,38.0,,0.0,3.0,,16.0,29.0,32.0,17.0,1.0,0.0,2.0,,58.0,57.0,15.0,,16.0,6.0,33.0,7.0,4.0,2.0,21.0,9.0,4.0,,13.0,4.0,1.0,,46.0,11.0,32.0,18.0,5.0,,4.0,
2021-03-24 21:45:00,,,3.0,28.0,31.0,,54.0,23.0,3.0,32.0,58.0,14.0,,11.0,12.0,3.0,34.0,23.0,18.0,,,,0.0,38.0,,4.0,3.0,,24.0,31.0,21.0,20.0,0.0,4.0,2.0,,48.0,48.0,7.0,,7.0,9.0,28.0,28.0,7.0,5.0,23.0,0.0,8.0,,19.0,9.0,9.0,,59.0,9.0,71.0,50.0,10.0,,7.0,
2021-03-24 21:46:00,,,3.0,22.0,17.0,,49.0,10.0,0.0,26.0,34.0,10.0,,0.0,6.0,4.0,26.0,25.0,16.0,,,,1.0,50.0,,6.0,2.0,,10.0,41.0,39.0,26.0,2.0,7.0,7.0,,55.0,52.0,13.0,,20.0,9.0,11.0,16.0,2.0,8.0,7.0,0.0,4.0,,25.0,2.0,4.0,,52.0,23.0,52.0,42.0,1.0,,10.0,
2021-03-24 21:47:00,,,8.0,16.0,28.0,,48.0,20.0,0.0,26.0,24.0,2.0,,2.0,4.0,0.0,20.0,28.0,12.0,,,,0.0,47.0,,8.0,1.0,,10.0,32.0,26.0,19.0,1.0,10.0,1.0,,65.0,45.0,24.0,,18.0,9.0,10.0,13.0,7.0,2.0,13.0,5.0,4.0,,24.0,1.0,1.0,,51.0,23.0,44.0,9.0,1.0,,8.0,
2021-03-24 21:48:00,,,5.0,4.0,34.0,,40.0,31.0,0.0,27.0,39.0,2.0,,11.0,5.0,6.0,42.0,30.0,13.0,,,,3.0,29.0,,2.0,2.0,,24.0,24.0,40.0,18.0,2.0,11.0,0.0,,78.0,38.0,25.0,,14.0,10.0,24.0,18.0,10.0,3.0,18.0,6.0,1.0,,18.0,4.0,1.0,,39.0,12.0,37.0,19.0,13.0,,11.0,
2021-03-24 21:49:00,,,2.0,23.0,29.0,,47.0,15.0,0.0,32.0,44.0,4.0,,1.0,7.0,5.0,13.0,19.0,14.0,,,,2.0,26.0,,1.0,4.0,,9.0,24.0,31.0,15.0,2.0,5.0,2.0,,59.0,43.0,17.0,,6.0,11.0,25.0,9.0,0.0,4.0,13.0,10.0,5.0,,15.0,7.0,2.0,,57.0,22.0,35.0,17.0,2.0,,15.0,
2021-03-24 21:50:00,,,2.0,10.0,17.0,,30.0,22.0,0.0,31.0,32.0,13.0,,1.0,1.0,1.0,27.0,41.0,16.0,,,,1.0,31.0,,0.0,2.0,,29.0,22.0,24.0,6.0,1.0,0.0,3.0,,41.0,51.0,20.0,,6.0,6.0,16.0,10.0,0.0,7.0,5.0,2.0,5.0,,9.0,8.0,1.0,,47.0,9.0,44.0,24.0,12.0,,0.0,
2021-03-24 21:51:00,,,6.0,29.0,33.0,,37.0,8.0,2.0,19.0,43.0,30.0,,9.0,3.0,4.0,28.0,11.0,12.0,,,,1.0,31.0,,4.0,2.0,,26.0,47.0,36.0,26.0,2.0,0.0,11.0,,52.0,64.0,7.0,,6.0,4.0,20.0,30.0,4.0,2.0,19.0,4.0,3.0,,4.0,8.0,7.0,,44.0,38.0,46.0,29.0,8.0,,5.0,
